titulo,link,data,Is_Edital,Campus_Citado,Topico_Classificado
DEFESA DE MESTRADO: RODRIGGO CRUZ ALVES MESQUITA,https://www.ifpi.edu.br/noticias/defesa-de-mestrado-rodriggo-cruz-alves-mesquita,14/10/2025,False,Não Mapeado,Pós-Graduação
Teresina Central celebra Dia Nacional do Secretariado,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-celebra-dia-nacional-do-secretariado,14/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Campus Esperantina realiza palestra em Comunidade Rural,https://www.ifpi.edu.br/noticias/campus-esperantina-realiza-palestra-em-comunidade-rural,14/10/2025,False,IFPI - Geral,Extensão e Cultura
Valença homologa inscrições para professor de Língua Portuguesa,https://www.ifpi.edu.br/valenca/noticias/valenca-homologa-inscricoes-para-professor-de-lingua-portuguesa,14/10/2025,True,IFPI - Campus Valença,Concursos e Seleção de Servidores
Campo Maior homologa resultado de chamada para aquisição de alimentos,https://www.ifpi.edu.br/campomaior/noticias/campo-maior-homologa-resultado-de-chamada-para-aquisicao-de-alimentos,13/10/2025,True,IFPI - Campus Campo Maior,Extensão e Cultura
Oeiras aprova projeto de Agroecologia e Produção Orgânica em chamada do CNPq,https://www.ifpi.edu.br/oeiras/noticias/oeiras-aprova-projeto-de-agroecologia-e-producao-organica-em-chamada-do-cnpq,13/10/2025,False,IFPI - Campus Oeiras,Assistência Estudantil
Paulistana realiza evento do Projeto Escola da Terra Semiárido,https://www.ifpi.edu.br/paulistana/noticias/paulistana-realiza-evento-do-projeto-escola-da-terra-semiarido,13/10/2025,False,IFPI - Campus Paulistana,Concursos e Seleção de Servidores
Teresina Zona Sul divulga preliminar de heteroidentificação para cursos técnicos,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-divulga-preliminar-de-heteroidentificacao-para-cursos-tecnicos-1,13/10/2025,True,IFPI - Campus Teresina Zona Sul,Ensino e Cursos
Cocal homologa inscrição para monitor leitor,https://www.ifpi.edu.br/cocal/noticias/cocal-homologa-inscricao-para-monitor-leitor,13/10/2025,True,IFPI - Campus Cocal,Outros/Geral
"Uruçuí abre submissão de trabalhos para Feira de Ciência, Tecnologia e Empreendedorismo",https://www.ifpi.edu.br/urucui/noticias/urucui-abre-submissao-de-trabalhos-para-feira-de-ciencia-tecnologia-e-empreendedorismo,13/10/2025,True,IFPI - Campus Uruçuí,Concursos e Seleção de Servidores
